fromUnit,toUnit,conversion,query,heading1,value1,heading2,value2,heading3,value3,,

#lines starting with # are commented out,,,,,,,,,,,

#new queries in GLIMPSE unit conversion group
Tg,mmCO2eq,21,GHG emissions by pollutant and region (CO2eq),GHG,CH4,,,,,,
Tg,mmCO2eq,21,GHG emissions by pollutant and region (CO2eq),GHG,CH4_AWB,,,,,,
Tg,mmCO2eq,21,GHG emissions by pollutant and region (CO2eq),GHG,CH4_AGR,,,,,,
Tg,mmCO2eq,21,GHG emissions by pollutant and region (CO2eq) v2,GHG,CH4,,,,,,
Tg,mmCO2eq,21,GHG emissions by pollutant and region (CO2eq) v2,GHG,CH4_AWB,,,,,,
Tg,mmCO2eq,21,GHG emissions by pollutant and region (CO2eq) v2,GHG,CH4_AGR,,,,,,
Tg,mmCO2eq,310,GHG emissions by pollutant and region (CO2eq),GHG,N2O,,,,,,
Tg,mmCO2eq,310,GHG emissions by pollutant and region (CO2eq),GHG,N2O_AGR,,,,,,
Tg,mmCO2eq,310,GHG emissions by pollutant and region (CO2eq),GHG,N2O_AWB,,,,,,
Tg,mmCO2eq,9.2,GHG emissions by pollutant and region (CO2eq),GHG,C2F6,,,,,,
Tg,mmCO2eq,6.5,GHG emissions by pollutant and region (CO2eq),GHG,CF4,,,,,,
Tg,mmCO2eq,2.8,GHG emissions by pollutant and region (CO2eq),GHG,HFC125,,,,,,
Tg,mmCO2eq,1.3,GHG emissions by pollutant and region (CO2eq),GHG,HFC134a,,,,,,
Tg,mmCO2eq,1.03,GHG emissions by pollutant and region (CO2eq),GHG,HFC245fa,,,,,,
Tg,mmCO2eq,23.900,GHG emissions by pollutant and region (CO2eq),GHG,SF6,,,,,,
MTC,mmCO2eq,3.667,GHG emissions by pollutant and region (CO2eq),GHG,CO2,,,,,,
Tg,million short tons,1.1023,"NOx,SO2,PM2.5,VOC,CO,NH3 by region (short tons)",,,,,,,,
Tg,million short tons,1.1023,"NOx,SO2,PM2.5,VOC,CO,NH3 by aggregate sector (short tons)",,,,,,,,
1975$/GJ,2020$/kWh,0.017316,Elec prices by sector (2020$/kwh),,,,,,,,
1990$/GJ,2020$/GJ,1.98,Prices of all markets (2020$s),,,,,,,,
1975$/GJ,2020$/GJ,4.81,Prices of all markets (2020$s),,,,,,,,
1990$/m^3,2020$/m^3,1.98,Prices of all markets (2020$s),,,,,,,,
1975$/m^3,2020$/m^3,4.81,Prices of all markets (2020$s),,,,,,,,
1990$/tC,2020$/tCO2,0.54,Prices of all markets (2020$s),,,,,,,,
1975$/tC,2020$/tCO2,1.31,Prices of all markets (2020$s),,,,,,,,
1990$/m3,2020$/m3,1.98,Prices of all markets (2020$s),,,,,,,,
1975$/m3,2020$/m3,4.81,Prices of all markets (2020$s),,,,,,,,
1990$/mcal,2020$/mcal,1.98,Prices of all markets (2020$s),,,,,,,,
1975$/mcal,2020$/mcal,4.81,Prices of all markets (2020$s),,,,,,,,
1990$/kg,2020$/kg,1.98,Prices of all markets (2020$s),,,,,,,,
1975$/kg,2020$/kg,4.81,Prices of all markets (2020$s),,,,,,,,
1990$/kgN,2020$/kgN,1.98,Prices of all markets (2020$s),,,,,,,,
1975$/kgN,2020$/kgN,4.81,Prices of all markets (2020$s),,,,,,,,
1975$/megalumen-hours,2020$/megalumen-hours,4.81,Prices of all markets (2020$s),,,,,,,,
1975$/million m3,2020$/million m3,4.81,Prices of all markets (2020$s),,,,,,,,
1975$/cycle,2020$/cycle,4.81,Prices of all markets (2020$s),,,,,,,,
1990$/pass-km,2020$/pass-km,1.98,Prices of all markets (2020$s),,,,,,,,
1990$/ton-km,2020$/ton-km,1.98,Prices of all markets (2020$s),,,,,,,,
million90$,million2020$,1.98,Prices of all markets (2020$s),,,,,,,,
1990$/tC,2020$/tCO2,0.54,CO2 prices (2020$/tCO2),,,,,,,,
1975$/tC,2020$/tCO2,1.31,CO2 prices (2020$/tCO2),,,,,,,,
1975$/kg,2020$/kg,4.81,CO2 prices (2020$/tCO2),,,,,,,,
1990$/GJ,2020$/gal,0.261,Refined liquid prices (2020$/gal),,,,,,,,
1975$/GJ,2020$/gal,0.551,Refined liquid prices (2020$/gal),,,,,,,,

#Correcting units
1990$/pass-km,1990$/veh-km,1.0,Amortized cap costs of transport techs (corrected units),,,,,,,,
1990$/pass-km,1990$/veh-km,1.0,Transport tech amortized cap costs,,,,,,,,
1990$/ton-km,1990$/veh-km,1.0,Transport tech amortized cap costs,,,,,,,,
1990$/pass-km,1990$/veh-km,1.0,Transport tech amortized cap costs (corrected units),,,,,,,,
1990$/ton-km,1990$/veh-km,1.0,Transport tech amortized cap costs (corrected units),,,,,,,,

#EJ,billion gallons,0.13176,Transport final energy by tech and fuel,technology,*Liquids,,,,,,
#MTC,MTCO2,3.666,,,,,,,,,    